Run number;Max width;Min width;Number of orders;Average reel width;Deviation of widths;Number of ordered reels;Weighted average width;Total waste percentage
00795;4900;500;54;2594.44444444444;1626.01685649629;515.220036894878;2841.83156185014;1.5232258638
00800;4900;700;169;2778.10650887574;1080.42373213906;469.07932986863;2482.69837773666;0.8562415502
00803;4900;800;150;2946;902.392792345912;1066.74500377399;2915.81611930445;0.2652002652
00817;5000;600;96;2353.125;883.885337288545;635.628352064698;2445.6459626612;0.0158061117
00820;4900;600;84;2835.71428571429;875.866917483962;722.532011804787;2669.80442615479;2.5265763798
00823;4700;600;93;2706.45161290323;947.973404921039;639.883251897155;2694.48369720322;1.1222910217
00828;5000;500;90;2596.66666666667;1279.25979299653;790.825883691339;2669.9225968616;0.6719900105
00829;3600;800;105;2517.14285714286;747.490306453373;860.197779779973;2634.97567570966;1.4317180617
00831;4700;700;132;2859.09090909091;910.075455763917;1135.05767627242;2923.82645020235;0.6863466403
00834;5000;1200;105;2914.28571428571;861.397407997897;841.832845504315;3008.34419946504;0.4264392324
00836;4700;600;114;2510.52631578947;1101.91855384205;879.082481642693;2564.84845084644;1.2345679012
00838;4700;500;87;3020.68965517241;1125.40823921444;836.596088858868;3062.46338972453;1.1176163982
00839;5000;800;72;2658.33333333333;1181.16080406963;623.062730264817;2688.7360385233;1.2649863117
00842;4300;500;141;2719.14893617021;765.591731334754;958.310634711017;2716.97903684984;0.441822726
00845;4700;1800;84;2803.57142857143;748.725250583006;606.939954536866;2820.23434504066;5.4422510634
00856;5000;500;156;3501.92307692308;1154.87584328338;1400.74098059223;3489.94628122901;5.0895441677
00857;5000;600;192;3540.625;1119.09444739886;1475.2956922621;3484.52847034942;3.4351808905
00867;5000;1200;198;3057.57575757576;951.738021058904;1759.7397846266;3048.82448348362;0.4098973388
00871;5000;1400;123;3626.82926829268;1010.44326993617;928.420946495819;3733.03086785043;8.0459770115
00874;5000;500;207;3239.13043478261;1032.08960314674;1707.14851316994;3286.54221514709;1.5683931876
00876;5000;900;177;3159.32203389831;960.134692977749;1272.7344498245;3197.22955613042;0.8174582308
00887;5000;500;156;3382.69230769231;1163.26367695978;1212.91696319447;3355.47996591663;1.0933654847
00895;5000;1400;195;3403.07692307692;876.668229590869;1411.26383964194;3326.59768458984;3.2950801819
00901;4200;500;123;1341.46341463415;738.510555688715;960.654909667205;1276.06977984283;0.9287925697
00902;4700;600;78;2007.69230769231;1293.11556024504;605.245407242527;1718.34423310805;0
00905;5000;500;144;2047.91666666667;1174.7321521822;1083.04118635056;2090.26992705681;0.9433962264
00910;4900;500;99;2063.63636363636;1233.91318331976;759.681338542742;2019.23937377249;1.2539184953
00914;4700;500;111;1886.48648648649;1262.2841119816;926.257218870071;1857.79650574697;0.6211180124
00916;4800;500;99;1587.87878787879;885.860901145382;738.995248157935;1545.63321154355;0.9287925697
00918;5000;500;123;1907.31707317073;1224.42162536984;968.408362219208;1742.68032110434;1.2345679012
00922;4600;500;84;1982.14285714286;992.642902132073;673.848885826023;1990.97941802445;0.3115264798
00925;4800;500;99;1612.12121212121;1003.1860192603;692.874298926638;1582.07462342833;0.3164556962
00929;5000;500;153;1888.23529411765;1319.33701335131;1185.27197334376;1916.1435000991;1.2539184953
00931;5000;600;102;2314.70588235294;1472.14378998143;732.859844675065;2378.96250015434;1.2539184953
00935;5000;500;132;1781.81818181818;1133.91964804236;1074.50926898609;1743.44593768911;1.2345679012
00943;4800;500;96;2275;1335.27052256127;918.941895743245;2297.13132253054;0.3164556962
00948;4000;500;114;1428.94736842105;795.532179445204;938.540579298991;1484.40477354833;0.9433962264
00951;4900;500;162;1966.66666666667;1015.6538756048;1278.93352668133;1837.65001434527;0.9287925697
00955;4300;500;156;2401.92307692308;984.621830391433;1141.17236536949;2439.59538071924;1.2345679012
00961;4900;600;153;2080.39215686275;1098.32760568592;1274.91543708996;2245.94776322047;0.9287925697
00967;5000;500;126;1852.38095238095;1021.58420392755;857.650065817789;1845.93415892677;0.9433962264
00973;4900;500;162;2238.88888888889;994.784536114191;1463.49064177201;2208.07068757327;0.3115264798
00979;5000;500;210;2282.85714285714;1081.32978056036;1589.93058121633;2256.82381188197;0
00980;4500;600;246;2180.48780487805;987.444323335451;1980.51980809309;2139.68596113634;0
00984;5000;500;111;2516.21621621622;1225.30445497068;809.435636119842;2743.38470846022;0.3164556962
00986;4800;500;153;1960.78431372549;1017.17069507051;1221.97214289542;2088.4380433387;0.9433962264
00993;4900;500;183;2378.68852459016;1089.27560677037;1319.68394032634;2311.84766435489;1.2345679012
00998;3900;500;129;2027.90697674419;1104.25149593699;1048.51013856363;2057.71002249329;0
01000;5000;500;410;2197.07317073171;1120.77131121441;1210.50389738318;2021.2564851634;0.9433962264
01006;5000;500;255;3256.47058823529;1244.02006390859;2043.34683745474;3144.36978755126;1.045726886
01014;5000;500;276;2672.82608695652;1337.08801050121;2144.91470492234;2743.2467789041;0.9433962264
01016;5000;500;270;2681.11111111111;1360.12473004821;2102.58645304319;2701.16442932858;1.2345679012
01020;5000;500;270;2613.33333333333;1345.64145646901;2164.10586321124;2635.81874540808;0.9433962264
01026;5000;600;153;2884.3137254902;1270.52194242837;1141.51313325239;2784.2365826762;0.3115264798
01030;5000;600;231;3123.37662337662;1122.02023974957;1621.98001894946;3128.41143081489;0
01036;5000;500;282;2645.74468085106;1306.53966061428;2150.09761916956;2663.11753912188;0
01042;5000;500;201;2537.31343283582;1124.21116622664;1606.58868578363;2628.00036633806;1.2345679012
01047;5000;500;309;2635.92233009709;1244.22205149576;2309.79177419675;2591.54755224072;1.2345679012
01050;4900;500;162;3038.88888888889;1221.91429084101;1243.03535176386;2884.44199985631;0.6868715479
00701;4300;500;39;1769.23076923077;1165.54795023264;339.701303759859;1800.84189135156;1.2539184953
00707;4900;1200;51;3152.94117647059;1390.87784383482;410.643462362544;2899.43754218758;2.7959528901
00710;5000;700;48;3193.75;1318.83350295276;385.252781598452;3237.2476847652;3.3705624252
00718;5000;600;51;2988.23529411765;1520.21670281885;390.317408818075;2642.14839998578;0.7233143553
00719;4800;1500;42;3421.42857142857;934.053770397096;305.729746072192;3473.03334526548;6.4751552795
00723;4900;1700;33;3154.54545454545;953.968981771325;293.693079337256;3323.38500013127;8.2629474887
00725;4300;900;45;2220;1057.57011372984;357.052076018368;2378.45708362423;0
00726;5000;500;48;2912.5;1574.07520975252;354.073247932536;3277.95289303704;3.4497789402
00731;4900;500;48;2725;1351.8309097334;473.696080731264;2700.92652485698;0
00737;4600;1200;63;3014.28571428571;1162.43031603246;550.813678864593;2983.10136525678;0.9367859863
00741;4600;600;63;2533.33333333333;1325.43358700026;472.730339668609;2665.11383483504;0.9287925697
00747;4400;600;42;2157.14285714286;1305.5496659697;387.549385925806;2326.70131458004;0
00750;4900;700;94;3256.3829787234;1439.79975539001;335.263696006827;3037.70617759909;2.366255144
00758;4800;500;45;2420;1336.6511750028;329.340083943619;2577.13512677648;0.3164556962
00759;4900;600;60;2510;1366.76036608657;493.11328912484;2170.05904603114;1.2539184953
00762;4900;500;54;2333.33333333333;1365.8917883048;429.262764319306;1912.14974870963;0.9917755201
00764;4900;500;54;2944.44444444444;1225.77148085214;498.914435862805;2983.04322516045;0.8775731311
00770;4900;500;54;2672.22222222222;1587.02482612659;481.776452543619;2600.88718732087;0.4776136896
00778;4400;1200;30;3250;1056.26211480504;256.433506520692;3151.85737810693;4.0051112087
00779;4900;700;51;2152.94117647059;1103.15056835891;411.869318097894;2224.12166286885;0.5617977528
00783;4900;600;33;1800;1242.22582488048;260.446696339529;1826.15657011497;0.9287925697
00785;5000;500;51;3000;1221.31077126176;352.084358060528;3227.47880880146;4.3755433208
00786;4600;600;51;2364.70588235294;1109.5627119567;334.076005734458;2277.96571001197;0.7821615315
00792;4200;800;54;2572.22222222222;1258.39320528978;483.336391022325;2697.40718878813;1.0017889088
00798;4100;900;30;2710;902.23859524996;161.199137723521;2619.41417194654;10.9228597099
00799;4900;800;63;2857.14285714286;1344.36869531394;523.892784571758;2715.2940915402;0.7410881801
00802;4900;600;87;2841.37931034483;1194.32297880703;733.892872449631;2981.96283891496;1.1016261384
00804;5000;600;111;2886.48648648649;828.085029284322;1064.89895961364;2941.70348336033;1.6766600044
00808;4700;700;105;2842.85714285714;632.889761766968;853.067355468875;2783.8026919567;1.7150548864
00809;4800;900;96;2990.625;857.914009308871;584.959359742407;2956.16300056973;2.7887658228
